Realtime_Seconds,Realtime_Nanoseconds,Interval_Unknown,Total_Unknown,Interval_Dropped,Total_Dropped,Interval_Truncated,Total_Truncated,Current_Queue,Max_Queue
1783894524,646278301,0,0,0,0,0,0,0,1
1783894525,646277565,0,0,0,0,0,0,0,1
1783894526,646278069,0,0,0,0,0,0,0,1
1783894527,646277852,0,0,0,0,0,0,0,1
1783894528,646297671,0,0,0,0,0,0,0,1
1783894529,646297843,0,0,0,0,0,0,0,1
1783894530,646302125,0,0,0,0,0,0,0,1
1783894531,646297427,0,0,0,0,0,0,0,1
1783894532,646305635,0,0,0,0,0,0,0,1
1783894533,646298289,0,0,0,0,0,0,0,1
1783894534,646299924,0,0,0,0,0,0,0,1
1783894535,646304985,0,0,0,0,0,0,0,1
1783894536,646308305,0,0,0,0,0,0,0,1
1783894537,646299199,0,0,0,0,0,0,0,1
1783894538,646303168,0,0,0,0,0,0,0,1
1783894539,646296581,0,0,0,0,0,0,0,1
1783894540,646296142,1,1,0,0,0,0,0,1
1783894541,646292796,0,1,0,0,0,0,0,1
