Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1783894357,388226087,6,0,0,0,0.00,1.75
1783894358,388225539,104,0,0,0,0.00,0.50
1783894359,388225176,23,0,0,0,0.00,0.00
1783894360,388218443,37,0,0,0,0.00,0.25
1783894361,388225396,38,1,1,0,0.00,0.00
1783894362,388233422,42,0,0,0,0.00,1.24
1783894363,388237374,35,0,0,0,0.00,0.00
1783894364,388233049,35,1,1,0,0.00,0.50
1783894365,388243891,40,1,1,0,0.00,0.25
1783894366,388239825,40,2,2,0,0.00,0.25
1783894367,388243167,49,0,0,0,0.00,0.75
1783894368,388241453,44,0,0,0,0.00,0.50
1783894369,388241499,43,2,2,0,0.00,0.75
1783894370,388235637,41,0,0,0,0.00,0.50
1783894371,388237628,57,0,0,0,0.00,0.50
1783894372,388240192,37,3,3,0,0.00,0.50
1783894373,388251146,42,0,0,0,0.00,0.00
1783894374,388238914,32,0,0,0,0.00,0.50
1783894375,388238238,39,0,0,0,0.00,0.50
1783894376,388241988,51,0,0,0,0.00,0.75
1783894377,388243239,28,0,0,0,0.00,0.50
1783894378,388240211,58,0,0,0,0.00,0.50
1783894379,388240647,29,1,1,0,0.00,0.25
1783894380,388242249,28,1,1,0,0.00,0.25
1783894381,388243241,4,0,0,0,0.00,0.25
1783894382,388240695,19,0,0,0,0.00,1.00
1783894383,388249631,10,0,0,0,0.00,0.25
1783894384,388235642,5,1,1,0,0.00,0.25
1783894385,388236059,1,1,1,0,0.00,0.00
1783894386,388238977,11,0,0,0,0.00,0.50
1783894387,388240525,4,0,0,0,0.00,0.00
1783894388,388240980,0,0,0,0,0.00,0.00
1783894389,388235010,7,0,0,0,0.00,0.25
1783894390,388245075,32,0,0,0,0.00,0.75
1783894391,388243605,34,0,0,0,0.00,0.50
1783894392,388238764,59,0,0,0,0.00,0.75
1783894393,388242479,65,0,0,0,0.00,1.00
1783894394,388239435,54,0,0,0,0.00,0.50
1783894395,388240817,54,0,0,0,0.00,0.50
1783894396,388240217,52,0,0,0,0.00,0.50
1783894397,388239821,37,0,0,0,0.00,0.75
1783894398,388238722,59,1,1,0,0.00,0.50
1783894399,388238733,80,1,1,0,0.00,1.49
1783894400,388239764,67,2,2,0,0.00,1.00
1783894401,388236980,53,0,0,0,0.00,0.50
1783894402,388238010,46,2,1,0,0.00,0.50
1783894403,388238596,51,0,0,0,0.00,0.25
1783894404,388240905,43,0,0,0,0.00,0.00
1783894405,388244065,59,0,0,0,0.00,1.24
1783894406,388266726,31,0,0,0,0.00,0.25
1783894407,388234109,30,0,0,0,0.00,0.00
1783894408,388238529,40,2,2,0,0.00,0.75
1783894409,388238505,45,0,0,0,0.00,0.50
1783894410,388235073,50,0,0,0,0.00,0.25
1783894411,388240679,45,0,0,0,0.00,0.25
1783894412,388240970,49,0,0,0,0.00,0.50
1783894413,388235483,59,1,1,0,0.00,0.25
1783894414,388239774,51,1,1,0,0.00,0.75
1783894415,388239621,54,0,1,0,0.00,0.25
1783894416,388235838,70,0,0,0,0.00,1.00
1783894417,388239444,39,0,0,0,0.00,1.24
1783894418,388235736,70,0,0,0,0.00,1.00
1783894419,388235842,80,1,1,0,0.00,1.00
1783894420,388240411,63,2,2,0,0.00,1.25
1783894421,388235351,78,0,0,0,0.00,0.75
1783894422,388241254,73,2,3,0,0.00,0.50
1783894423,388239805,38,0,0,0,0.00,0.25
1783894424,388232986,26,0,0,0,0.00,0.50
1783894425,388236686,32,0,1,0,0.00,0.50
1783894426,388235663,32,1,1,0,0.00,0.50
1783894427,388240177,34,0,0,0,0.00,0.75
1783894428,388238933,51,1,1,0,0.00,0.75
1783894429,388239077,24,0,0,0,0.00,0.75
