Realtime_Seconds,Realtime_Nanoseconds,Interval_Unknown,Total_Unknown,Interval_Dropped,Total_Dropped,Interval_Truncated,Total_Truncated,Current_Queue,Max_Queue
1783803916,139904749,0,0,0,0,0,0,0,1
1783803917,139907616,0,0,0,0,0,0,0,1
1783803918,139905501,0,0,0,0,0,0,0,1
1783803919,139906182,0,0,0,0,0,0,0,1
1783803920,139905031,0,0,0,0,0,0,0,1
1783803921,139926879,0,0,0,0,0,0,0,1
1783803922,139922635,0,0,0,0,0,0,0,1
1783803923,139922855,0,0,0,0,0,0,0,1
1783803924,139959463,0,0,0,0,0,0,0,1
1783803925,139929886,0,0,0,0,0,0,0,1
1783803926,139925662,0,0,0,0,0,0,0,1
1783803927,139924975,0,0,0,0,0,0,0,1
1783803928,139924991,0,0,0,0,0,0,0,1
1783803929,139926804,0,0,0,0,0,0,0,1
1783803930,139923117,0,0,0,0,0,0,0,1
1783803931,139920634,0,0,0,0,0,0,0,1
1783803932,139925762,0,0,0,0,0,0,0,1
1783803933,139957094,0,0,0,0,0,0,0,1
1783803934,139930612,0,0,0,0,0,0,0,1
1783803935,139924666,0,0,0,0,0,0,0,1
1783803936,139925832,0,0,0,0,0,0,0,1
1783803937,139925943,0,0,0,0,0,0,0,1
1783803938,139920887,0,0,0,0,0,0,0,1
1783803939,139926275,1,1,0,0,0,0,0,1
1783803940,139951201,0,1,0,0,0,0,0,1
1783803941,139926387,0,1,0,0,0,0,0,1
1783803942,139924646,0,1,0,0,0,0,0,1
1783803943,139921739,0,1,0,0,0,0,0,1
1783803944,139926277,0,1,0,0,0,0,0,1
1783803945,139915426,0,1,0,0,0,0,0,1
1783803946,139949889,0,1,0,0,0,0,0,1
1783803947,139921094,0,1,0,0,0,0,0,1
1783803948,139922114,0,1,0,0,0,0,0,1
1783803949,139925189,0,1,0,0,0,0,0,1
1783803950,139925876,0,1,0,0,0,0,0,1
1783803951,139924266,0,1,0,0,0,0,0,1
1783803952,139926046,0,1,0,0,0,0,0,1
1783803953,139924826,0,1,0,0,0,0,0,1
1783803954,139920383,0,1,0,0,0,0,0,1
1783803955,139924960,0,1,0,0,0,0,0,1
1783803956,139924962,0,1,0,0,0,0,0,1
1783803957,139922909,0,1,0,0,0,0,0,1
1783803958,139922894,0,1,0,0,0,0,0,1
1783803959,139926156,0,1,0,0,0,0,0,1
1783803960,139958418,0,1,0,0,0,0,0,1
1783803961,139922903,0,1,0,0,0,0,0,1
1783803962,139923110,0,1,0,0,0,0,0,1
1783803963,139922151,0,1,0,0,0,0,0,1
1783803964,139924895,0,1,0,0,0,0,0,1
1783803965,139922899,0,1,0,0,0,0,0,1
1783803966,139925218,0,1,0,0,0,0,0,1
1783803967,139925407,0,1,0,0,0,0,0,1
1783803968,139922837,0,1,0,0,0,0,0,1
1783803969,139925749,0,1,0,0,0,0,0,1
1783803970,139926013,0,1,0,0,0,0,0,1
1783803971,139924944,0,1,0,0,0,0,0,1
1783803972,139923412,0,1,0,0,0,0,0,1
1783803973,139950768,0,1,0,0,0,0,0,1
1783803974,139924774,0,1,0,0,0,0,0,1
1783803975,139919279,0,1,0,0,0,0,0,1
1783803976,139923433,0,1,0,0,0,0,0,1
1783803977,139925364,0,1,0,0,0,0,0,1
1783803978,139925111,0,1,0,0,0,0,0,1
1783803979,139923043,0,1,0,0,0,0,0,1
1783803980,139924493,0,1,0,0,0,0,0,1
1783803981,139952536,0,1,0,0,0,0,0,1
1783803982,139922580,0,1,0,0,0,0,0,1
1783803983,139925976,0,1,0,0,0,0,0,1
1783803984,139927853,0,1,0,0,0,0,0,1
1783803985,139959267,0,1,0,0,0,0,0,1
1783803986,139925570,0,1,0,0,0,0,0,1
1783803987,139924633,0,1,0,0,0,0,0,1
1783803988,139925529,0,1,0,0,0,0,0,1
1783803989,139921796,0,1,0,0,0,0,0,1
1783803990,139926563,0,1,0,0,0,0,0,1
1783803991,139921219,0,1,0,0,0,0,0,1
1783803992,139920190,0,1,0,0,0,0,0,1
1783803993,139918309,0,1,0,0,0,0,0,1
1783803994,139922206,0,1,0,0,0,0,0,1
1783803995,139922326,0,1,0,0,0,0,0,1
1783803996,139921705,0,1,0,0,0,0,0,1
1783803997,139926584,0,1,0,0,0,0,0,1
1783803998,139925574,0,1,0,0,0,0,0,1
1783803999,139921898,0,1,0,0,0,0,0,1
1783804000,139925499,0,1,0,0,0,0,0,1
1783804001,139954490,0,1,0,0,0,0,0,1
1783804002,139925740,0,1,0,0,0,0,0,1
1783804003,139925916,0,1,0,0,0,0,0,1
1783804004,139925741,0,1,0,0,0,0,0,1
1783804005,139918676,0,1,0,0,0,0,0,1
1783804006,139926242,0,1,0,0,0,0,0,1
1783804007,139925437,0,1,0,0,0,0,0,1
1783804008,139925836,0,1,0,0,0,0,0,1
1783804009,139949476,0,1,0,0,0,0,0,1
1783804010,139924857,0,1,0,0,0,0,0,1
1783804011,139926331,0,1,0,0,0,0,0,1
1783804012,139926249,0,1,0,0,0,0,0,1
1783804013,139930204,0,1,0,0,0,0,0,1
1783804014,139921586,0,1,0,0,0,0,0,1
1783804015,139916801,0,1,0,0,0,0,0,1
1783804016,139918257,0,1,0,0,0,0,0,1
1783804017,139927416,0,1,0,0,0,0,0,1
1783804018,139915946,0,1,0,0,0,0,0,1
1783804019,139919366,0,1,0,0,0,0,0,1
1783804020,139920285,0,1,0,0,0,0,0,1
1783804021,139919741,0,1,0,0,0,0,0,1
1783804022,139924568,0,1,0,0,0,0,0,1
1783804023,139952377,0,1,0,0,0,0,0,1
1783804024,139960481,0,1,0,0,0,0,0,1
1783804025,139925291,0,1,0,0,0,0,0,1
1783804026,139917489,0,1,0,0,0,0,0,1
1783804027,139924779,0,1,0,0,0,0,0,1
1783804028,139923681,0,1,0,0,0,0,0,1
1783804029,139925065,0,1,0,0,0,0,0,1
1783804030,139925633,0,1,0,0,0,0,0,1
1783804031,139923425,0,1,0,0,0,0,0,1
1783804032,139919123,0,1,0,0,0,0,0,1
1783804033,139925785,0,1,0,0,0,0,0,1
1783804034,139924299,0,1,0,0,0,0,0,1
1783804035,139933424,0,1,0,0,0,0,0,1
1783804036,139913605,0,1,0,0,0,0,0,1
1783804037,139927452,0,1,0,0,0,0,0,1
1783804038,139925430,0,1,0,0,0,0,0,1
1783804039,139923111,0,1,0,0,0,0,0,1
1783804040,139924959,0,1,0,0,0,0,0,1
1783804041,139924177,0,1,0,0,0,0,0,1
1783804042,139927896,0,1,0,0,0,0,0,1
1783804043,139928022,0,1,0,0,0,0,0,1
1783804044,139915445,0,1,0,0,0,0,0,1
1783804045,139935663,0,1,0,0,0,0,0,1
1783804046,139924068,0,1,0,0,0,0,0,1
1783804047,139918880,0,1,0,0,0,0,0,1
1783804048,139924544,0,1,0,0,0,0,0,1
1783804049,139926319,0,1,0,0,0,0,0,1
1783804050,139925742,0,1,0,0,0,0,0,1
1783804051,139921314,0,1,0,0,0,0,0,1
1783804052,139919052,0,1,0,0,0,0,0,1
1783804053,139922180,0,1,0,0,0,0,0,1
1783804054,139963066,0,1,0,0,0,0,0,1
1783804055,139924879,0,1,0,0,0,0,0,1
1783804056,139923526,0,1,0,0,0,0,0,1
1783804057,139922117,0,1,0,0,0,0,0,1
1783804058,139918985,0,1,0,0,0,0,0,1
1783804059,139918169,0,1,0,0,0,0,0,1
1783804060,139918464,0,1,0,0,0,0,0,1
1783804061,139924833,0,1,0,0,0,0,0,1
1783804062,139926221,0,1,0,0,0,0,0,1
1783804063,139925424,0,1,0,0,0,0,0,1
1783804064,139926312,0,1,0,0,0,0,0,1
1783804065,139924089,0,1,0,0,0,0,0,1
1783804066,139920644,0,1,0,0,0,0,0,1
1783804067,139926403,0,1,0,0,0,0,0,1
1783804068,139923866,0,1,0,0,0,0,0,1
1783804069,139924921,0,1,0,0,0,0,0,1
1783804070,139925644,0,1,0,0,0,0,0,1
1783804071,139925403,0,1,0,0,0,0,0,1
1783804072,139926070,0,1,0,0,0,0,0,1
1783804073,139922515,0,1,0,0,0,0,0,1
1783804074,139922534,0,1,0,0,0,0,0,1
1783804075,139926183,0,1,0,0,0,0,0,1
1783804076,139924813,0,1,0,0,0,0,0,1
1783804077,139925851,0,1,0,0,0,0,0,1
1783804078,139922426,0,1,0,0,0,0,0,1
1783804079,139924483,0,1,0,0,0,0,0,1
1783804080,139923558,0,1,0,0,0,0,0,1
1783804081,139921800,0,1,0,0,0,0,0,1
1783804082,139920005,0,1,0,0,0,0,0,1
1783804083,139918488,0,1,0,0,0,0,0,1
1783804084,139924805,0,1,0,0,0,0,0,1
1783804085,139925029,0,1,0,0,0,0,0,1
1783804086,139925734,0,1,0,0,0,0,0,1
1783804087,139918940,0,1,0,0,0,0,0,1
1783804088,139925553,0,1,0,0,0,0,0,1
1783804089,139923074,0,1,0,0,0,0,0,1
1783804090,139929225,0,1,0,0,0,0,0,1
1783804091,139919931,0,1,0,0,0,0,0,1
1783804092,139914323,0,1,0,0,0,0,0,1
1783804093,139932622,1,2,0,0,0,0,0,1
1783804094,139926032,0,2,0,0,0,0,0,1
1783804095,139928017,0,2,0,0,0,0,0,1
1783804096,139924724,0,2,0,0,0,0,0,1
1783804097,139930319,0,2,0,0,0,0,0,1
1783804098,139923230,0,2,0,0,0,0,0,1
1783804099,139918586,0,2,0,0,0,0,0,1
1783804100,139922978,0,2,0,0,0,0,0,1
1783804101,139927001,0,2,0,0,0,0,0,1
1783804102,139925153,0,2,0,0,0,0,0,1
1783804103,139952064,0,2,0,0,0,0,0,1
1783804104,139926642,0,2,0,0,0,0,0,1
1783804105,139932480,0,2,0,0,0,0,0,1
1783804106,139956428,0,2,0,0,0,0,0,1
1783804107,139957081,0,2,0,0,0,0,0,1
1783804108,139923901,0,2,0,0,0,0,0,1
1783804109,139954146,0,2,0,0,0,0,0,1
1783804110,139925429,0,2,0,0,0,0,0,1
1783804111,139924656,0,2,0,0,0,0,0,1
1783804112,139918050,0,2,0,0,0,0,0,1
1783804113,139953758,0,2,0,0,0,0,0,1
1783804114,139923283,0,2,0,0,0,0,0,1
1783804115,139922325,0,2,0,0,0,0,0,1
1783804116,139925904,0,2,0,0,0,0,0,1
1783804117,139922484,0,2,0,0,0,0,0,1
1783804118,139923045,0,2,0,0,0,0,0,1
1783804119,139922125,0,2,0,0,0,0,0,1
1783804120,139919761,0,2,0,0,0,0,0,1
1783804121,139925452,0,2,0,0,0,0,0,1
1783804122,139954514,0,2,0,0,0,0,0,1
1783804123,139926909,0,2,0,0,0,0,0,1
1783804124,139922230,0,2,0,0,0,0,0,1
1783804125,139919589,0,2,0,0,0,0,0,1
1783804126,139924281,0,2,0,0,0,0,0,1
1783804127,139956843,0,2,0,0,0,0,0,1
1783804128,139924591,0,2,0,0,0,0,0,1
1783804129,139924672,0,2,0,0,0,0,0,1
1783804130,139926790,0,2,0,0,0,0,0,1
1783804131,139925964,0,2,0,0,0,0,0,1
1783804132,139916619,0,2,0,0,0,0,0,1
1783804133,139924534,0,2,0,0,0,0,0,1
1783804134,139925412,0,2,0,0,0,0,0,1
1783804135,139918827,0,2,0,0,0,0,0,1
1783804136,139928001,0,2,0,0,0,0,0,1
1783804137,139922287,0,2,0,0,0,0,0,1
1783804138,139926054,0,2,0,0,0,0,0,1
1783804139,139925914,0,2,0,0,0,0,0,1
1783804140,139918682,0,2,0,0,0,0,0,1
1783804141,139920153,0,2,0,0,0,0,0,1
1783804142,139919198,0,2,0,0,0,0,0,1
1783804143,139923781,0,2,0,0,0,0,0,1
1783804144,139926104,0,2,0,0,0,0,0,1
1783804145,139932891,0,2,0,0,0,0,0,1
1783804146,139925011,0,2,0,0,0,0,0,1
1783804147,139924668,0,2,0,0,0,0,0,1
1783804148,139915603,0,2,0,0,0,0,0,1
1783804149,139928557,0,2,0,0,0,0,0,1
1783804150,139932140,0,2,0,0,0,0,0,1
1783804151,139924001,0,2,0,0,0,0,0,1
1783804152,139921992,0,2,0,0,0,0,0,1
1783804153,139932317,0,2,0,0,0,0,0,1
1783804154,139919438,0,2,0,0,0,0,0,1
1783804155,139943040,0,2,0,0,0,0,0,1
1783804156,139919679,0,2,0,0,0,0,0,1
1783804157,139989393,0,2,0,0,0,0,0,1
1783804158,139924014,0,2,0,0,0,0,0,1
1783804159,139926988,0,2,0,0,0,0,0,1
1783804160,139923498,0,2,0,0,0,0,0,1
1783804161,139931731,0,2,0,0,0,0,0,1
1783804162,139925964,0,2,0,0,0,0,0,1
1783804163,139923382,0,2,0,0,0,0,0,1
1783804164,139923744,0,2,0,0,0,0,0,1
1783804165,139926403,0,2,0,0,0,0,0,1
1783804166,139924692,0,2,0,0,0,0,0,1
1783804167,139924648,0,2,0,0,0,0,0,1
1783804168,139916140,0,2,0,0,0,0,0,1
1783804169,139930892,0,2,0,0,0,0,0,1
1783804170,139914811,0,2,0,0,0,0,0,1
1783804171,139924526,0,2,0,0,0,0,0,1
1783804172,139924445,0,2,0,0,0,0,0,1
1783804173,139932790,0,2,0,0,0,0,0,1
1783804174,139924469,0,2,0,0,0,0,0,1
1783804175,139935314,0,2,0,0,0,0,0,1
1783804176,139924715,0,2,0,0,0,0,0,1
1783804177,139933801,0,2,0,0,0,0,0,1
1783804178,139925795,0,2,0,0,0,0,0,1
1783804179,139922400,0,2,0,0,0,0,0,1
1783804180,139920634,0,2,0,0,0,0,0,1
1783804181,139929906,0,2,0,0,0,0,0,1
1783804182,139918363,0,2,0,0,0,0,0,1
1783804183,139923691,0,2,0,0,0,0,0,1
1783804184,139919018,0,2,0,0,0,0,0,1
1783804185,139930476,0,2,0,0,0,0,0,1
1783804186,139920285,0,2,0,0,0,0,0,1
1783804187,139922002,0,2,0,0,0,0,0,1
1783804188,139991533,0,2,0,0,0,0,0,1
1783804189,139928380,0,2,0,0,0,0,0,1
1783804190,139921283,0,2,0,0,0,0,0,1
1783804191,139923148,0,2,0,0,0,0,0,1
1783804192,139921940,0,2,0,0,0,0,0,1
1783804193,139926768,0,2,0,0,0,0,0,1
1783804194,139925097,0,2,0,0,0,0,0,1
1783804195,139928611,0,2,0,0,0,0,0,1
1783804196,139922421,0,2,0,0,0,0,0,1
1783804197,139931231,0,2,0,0,0,0,0,1
1783804198,139926486,0,2,0,0,0,0,0,1
1783804199,139923741,0,2,0,0,0,0,0,1
1783804200,139925293,0,2,0,0,0,0,0,1
1783804201,139931955,0,2,0,0,0,0,0,1
1783804202,139925970,1,3,0,0,1,1,0,1
1783804203,139917226,0,3,0,0,0,1,0,1
1783804204,139924981,0,3,0,0,0,1,0,1
1783804205,139936163,0,3,0,0,0,1,0,1
1783804206,139919844,0,3,0,0,0,1,0,1
1783804207,139922452,0,3,0,0,0,1,0,1
1783804208,139922875,0,3,0,0,0,1,0,1
1783804209,139930723,0,3,0,0,0,1,0,1
1783804210,139926368,0,3,0,0,0,1,0,1
1783804211,139923754,0,3,0,0,0,1,0,1
1783804212,139925510,0,3,0,0,0,1,0,1
1783804213,139932619,0,3,0,0,0,1,0,1
1783804214,139920931,0,3,0,0,0,1,0,1
1783804215,139930724,0,3,0,0,0,1,0,1
1783804216,139921351,0,3,0,0,0,1,0,1
1783804217,139931904,0,3,0,0,0,1,0,1
1783804218,139923032,0,3,0,0,0,1,0,1
1783804219,139922733,0,3,0,0,0,1,0,1
1783804220,139925935,0,3,0,0,0,1,0,1
1783804221,139931618,0,3,0,0,0,1,0,1
1783804222,139921171,0,3,0,0,0,1,0,1
1783804223,139924651,0,3,0,0,0,1,0,1
1783804224,139952112,0,3,0,0,0,1,0,1
1783804225,139927055,0,3,0,0,0,1,0,1
1783804226,139925905,0,3,0,0,0,1,0,1
1783804227,139925237,0,3,0,0,0,1,0,1
1783804228,139923161,0,3,0,0,0,1,0,1
1783804229,139927623,0,3,0,0,0,1,0,1
1783804230,139950566,0,3,0,0,0,1,0,1
1783804231,139922472,0,3,0,0,0,1,0,1
1783804232,139922101,0,3,0,0,0,1,0,1
1783804233,139955062,0,3,0,0,0,1,0,1
1783804234,139925932,0,3,0,0,0,1,0,1
1783804235,139928394,0,3,0,0,0,1,0,1
1783804236,139926560,0,3,0,0,0,1,0,1
1783804237,139928671,0,3,0,0,0,1,0,1
1783804238,139932929,0,3,0,0,0,1,0,1
1783804239,139926133,0,3,0,0,0,1,0,1
1783804240,139929725,0,3,0,0,0,1,0,1
1783804241,139923262,0,3,0,0,0,1,0,1
1783804242,139925836,0,3,0,0,0,1,0,1
1783804243,139925058,0,3,0,0,0,1,0,1
1783804244,139918021,0,3,0,0,0,1,0,1
1783804245,139921113,0,3,0,0,0,1,0,1
1783804246,139921188,0,3,0,0,0,1,0,1
1783804247,139924243,0,3,0,0,0,1,0,1
1783804248,139922577,0,3,0,0,0,1,0,1
1783804249,139923096,0,3,0,0,0,1,0,1
