Realtime_Seconds,Realtime_Nanoseconds,Interval_Unknown,Total_Unknown,Interval_Dropped,Total_Dropped,Interval_Truncated,Total_Truncated,Current_Queue,Max_Queue
1783787682,938341872,0,0,0,0,0,0,0,1
1783787683,938343992,0,0,0,0,0,0,0,1
1783787684,938342280,0,0,0,0,0,0,0,1
1783787685,938362698,0,0,0,0,0,0,0,1
1783787686,938362246,0,0,0,0,0,0,0,1
1783787687,938362332,0,0,0,0,0,0,0,1
1783787688,938361325,0,0,0,0,0,0,0,1
1783787689,938359653,0,0,0,0,0,0,0,1
1783787690,938357555,0,0,0,0,0,0,0,1
1783787691,938369254,0,0,0,0,0,0,0,1
1783787692,938392305,0,0,0,0,0,0,0,1
1783787693,938359579,0,0,0,0,0,0,0,1
1783787694,938355520,0,0,0,0,0,0,0,1
1783787695,938360461,0,0,0,0,0,0,0,1
1783787696,938373922,0,0,0,0,0,0,0,1
1783787697,938363142,0,0,0,0,0,0,0,1
1783787698,938367604,0,0,0,0,0,0,0,1
1783787699,938367899,0,0,0,0,0,0,0,1
1783787700,938368788,0,0,0,0,0,0,0,1
1783787701,938369325,0,0,0,0,0,0,0,1
1783787702,938360752,0,0,0,0,0,0,0,1
1783787703,938361864,0,0,0,0,0,0,0,1
1783787704,938358940,0,0,0,0,0,0,0,1
1783787705,938364757,0,0,0,0,0,0,0,1
1783787706,938359019,0,0,0,0,0,0,0,1
1783787707,938391929,0,0,0,0,0,0,0,1
1783787708,938363322,0,0,0,0,0,0,0,1
1783787709,938361881,0,0,0,0,0,0,0,1
1783787710,938359516,0,0,0,0,0,0,0,1
1783787711,938354632,0,0,0,0,0,0,0,1
1783787712,938362767,0,0,0,0,0,0,0,1
1783787713,938363329,0,0,0,0,0,0,0,1
1783787714,938360113,0,0,0,0,0,0,0,1
1783787715,938361972,0,0,0,0,0,0,0,1
1783787716,938363368,0,0,0,0,0,0,0,1
1783787717,938355802,0,0,0,0,0,0,0,1
1783787718,938364162,0,0,0,0,0,0,0,1
1783787719,938359282,0,0,0,0,0,0,0,1
1783787720,938359422,0,0,0,0,0,0,0,1
1783787721,938362561,0,0,0,0,0,0,0,1
1783787722,938355535,0,0,0,0,0,0,0,1
1783787723,938404323,0,0,0,0,0,0,0,1
1783787724,938357853,0,0,0,0,0,0,0,1
1783787725,938361958,0,0,0,0,0,0,0,1
1783787726,938361748,0,0,0,0,0,0,0,1
1783787727,938361557,0,0,0,0,0,0,0,1
1783787728,938360107,0,0,0,0,0,0,0,1
1783787729,938359898,0,0,0,0,0,0,0,1
1783787730,938358931,0,0,0,0,0,0,0,1
1783787731,938414594,0,0,0,0,0,0,0,1
1783787732,938364609,0,0,0,0,0,0,0,1
1783787733,938358977,0,0,0,0,0,0,0,1
1783787734,938361641,0,0,0,0,0,0,0,1
1783787735,938369417,0,0,0,0,0,0,0,1
1783787736,938368026,0,0,0,0,0,0,0,1
1783787737,938356877,0,0,0,0,0,0,0,1
1783787738,938361543,0,0,0,0,0,0,0,1
1783787739,938356617,0,0,0,0,0,0,0,1
1783787740,938361081,0,0,0,0,0,0,0,1
1783787741,938358674,0,0,0,0,0,0,0,1
1783787742,938360972,0,0,0,0,0,0,0,1
1783787743,938394918,0,0,0,0,0,0,0,1
1783787744,938363624,0,0,0,0,0,0,0,1
1783787745,938359404,0,0,0,0,0,0,0,1
1783787746,938417407,0,0,0,0,0,0,0,1
1783787747,938355078,0,0,0,0,0,0,0,1
1783787748,938362600,0,0,0,0,0,0,0,1
1783787749,938360160,0,0,0,0,0,0,0,1
1783787750,938360424,0,0,0,0,0,0,0,1
1783787751,938358022,0,0,0,0,0,0,0,1
1783787752,938361899,0,0,0,0,0,0,0,1
1783787753,938353609,0,0,0,0,0,0,0,1
1783787754,938388819,0,0,0,0,0,0,0,1
1783787755,938359363,0,0,0,0,0,0,0,1
1783787756,938359556,0,0,0,0,0,0,0,1
1783787757,938359046,0,0,0,0,0,0,0,1
1783787758,938358869,0,0,0,0,0,0,0,1
1783787759,938359174,0,0,0,0,0,0,0,1
1783787760,938362424,0,0,0,0,0,0,0,1
1783787761,938362342,0,0,0,0,0,0,0,1
1783787762,938359593,0,0,0,0,0,0,0,1
1783787763,938393696,0,0,0,0,0,0,0,1
1783787764,938362337,0,0,0,0,0,0,0,1
1783787765,938366071,0,0,0,0,0,0,0,1
1783787766,938362527,0,0,0,0,0,0,0,1
1783787767,938357596,0,0,0,0,0,0,0,1
1783787768,938402571,0,0,0,0,0,0,0,1
1783787769,938363696,0,0,0,0,0,0,0,1
1783787770,938360617,0,0,0,0,0,0,0,1
1783787771,938360650,0,0,0,0,0,0,0,1
1783787772,938367091,0,0,0,0,0,0,0,1
1783787773,938361143,0,0,0,0,0,0,0,1
1783787774,938391917,0,0,0,0,0,0,0,1
1783787775,938362471,0,0,0,0,0,0,0,1
1783787776,938361709,0,0,0,0,0,0,0,1
1783787777,938355708,0,0,0,0,0,0,0,1
1783787778,938362058,0,0,0,0,0,0,0,1
1783787779,938361780,0,0,0,0,0,0,0,1
1783787780,938361742,0,0,0,0,0,0,0,1
1783787781,938362576,0,0,0,0,0,0,0,1
1783787782,938361798,0,0,0,0,0,0,0,1
1783787783,938360225,0,0,0,0,0,0,0,1
1783787784,938360189,0,0,0,0,0,0,0,1
1783787785,938360599,0,0,0,0,0,0,0,1
1783787786,938361360,0,0,0,0,0,0,0,1
1783787787,938357955,0,0,0,0,0,0,0,1
1783787788,938354940,0,0,0,0,0,0,0,1
1783787789,938361165,0,0,0,0,0,0,0,1
1783787790,938361817,0,0,0,0,0,0,0,1
1783787791,938352933,0,0,0,0,0,0,0,1
1783787792,938362734,0,0,0,0,0,0,0,1
1783787793,938356961,0,0,0,0,0,0,0,1
1783787794,938359763,0,0,0,0,0,0,0,1
1783787795,938359917,0,0,0,0,0,0,0,1
1783787796,938360942,0,0,0,0,0,0,0,1
1783787797,938359690,0,0,0,0,0,0,0,1
1783787798,938358123,0,0,0,0,0,0,0,1
1783787799,938360593,0,0,0,0,0,0,0,1
1783787800,938369323,0,0,0,0,0,0,0,1
1783787801,938365647,0,0,0,0,0,0,0,1
1783787802,938367155,0,0,0,0,0,0,0,1
1783787803,938360313,0,0,0,0,0,0,0,1
1783787804,938370119,0,0,0,0,0,0,0,1
1783787805,938368629,0,0,0,0,0,0,0,1
1783787806,938358973,0,0,0,0,0,0,0,1
1783787807,938357150,0,0,0,0,0,0,0,1
1783787808,938361810,0,0,0,0,0,0,0,1
1783787809,938359562,0,0,0,0,0,0,0,1
1783787810,938358685,0,0,0,0,0,0,0,1
1783787811,938357531,0,0,0,0,0,0,0,1
1783787812,938361896,0,0,0,0,0,0,0,1
1783787813,938360983,0,0,0,0,0,0,0,1
1783787814,938415700,0,0,0,0,0,0,0,1
1783787815,938360900,0,0,0,0,0,0,0,1
1783787816,938358081,0,0,0,0,0,0,0,1
1783787817,938362022,0,0,0,0,0,0,0,1
1783787818,938360871,1,1,0,0,0,0,0,1
1783787819,938360849,0,1,0,0,0,0,0,1
1783787820,938360921,0,1,0,0,0,0,0,1
1783787821,938361160,0,1,0,0,0,0,0,1
1783787822,938356213,0,1,0,0,0,0,0,1
1783787823,938361749,0,1,0,0,0,0,0,1
1783787824,938369637,0,1,0,0,0,0,0,1
1783787825,938370711,0,1,0,0,0,0,0,1
1783787826,938363692,0,1,0,0,0,0,0,1
1783787827,938360804,0,1,0,0,0,0,0,1
1783787828,938367638,0,1,0,0,0,0,0,1
1783787829,938363120,0,1,0,0,0,0,0,1
1783787830,938360714,0,1,0,0,0,0,0,1
1783787831,938354661,0,1,0,0,0,0,0,1
1783787832,938362070,0,1,0,0,0,0,0,1
1783787833,938364684,0,1,0,0,0,0,0,1
1783787834,938363206,0,1,0,0,0,0,0,1
1783787835,938364450,0,1,0,0,0,0,0,1
1783787836,938365194,0,1,0,0,0,0,0,1
1783787837,938361772,0,1,0,0,0,0,0,1
1783787838,938359018,0,1,0,0,0,0,0,1
1783787839,938360912,0,1,0,0,0,0,0,1
1783787840,938368861,0,1,0,0,0,0,0,1
1783787841,938361941,0,1,0,0,0,0,0,1
1783787842,938361818,0,1,0,0,0,0,0,1
1783787843,938361824,0,1,0,0,0,0,0,1
1783787844,938369331,0,1,0,0,0,0,0,1
1783787845,938359579,0,1,0,0,0,0,0,1
1783787846,938361383,0,1,0,0,0,0,0,1
1783787847,938362353,0,1,0,0,0,0,0,1
1783787848,938368732,0,1,0,0,0,0,0,1
1783787849,938360556,0,1,0,0,0,0,0,1
1783787850,938363676,0,1,0,0,0,0,0,1
1783787851,938362222,0,1,0,0,0,0,0,1
1783787852,938362121,0,1,0,0,0,0,0,1
1783787853,938363539,0,1,0,0,0,0,0,1
1783787854,938374494,0,1,0,0,0,0,0,1
1783787855,938372912,0,1,0,0,0,0,0,1
1783787856,938359405,0,1,0,0,0,0,0,1
1783787857,938368861,0,1,0,0,0,0,0,1
1783787858,938360632,0,1,0,0,0,0,0,1
1783787859,938360367,0,1,0,0,0,0,0,1
1783787860,938358157,0,1,0,0,0,0,0,1
1783787861,938357448,0,1,0,0,0,0,0,1
1783787862,938367295,0,1,0,0,0,0,0,1
1783787863,938358439,0,1,0,0,0,0,0,1
1783787864,938362545,0,1,0,0,0,0,0,1
1783787865,938360653,0,1,0,0,0,0,0,1
1783787866,938361760,0,1,0,0,0,0,0,1
1783787867,938414553,0,1,0,0,0,0,0,1
1783787868,938359032,0,1,0,0,0,0,0,1
1783787869,938358159,0,1,0,0,0,0,0,1
1783787870,938360638,0,1,0,0,0,0,0,1
1783787871,938362378,0,1,0,0,0,0,0,1
1783787872,938358987,0,1,0,0,0,0,0,1
1783787873,938358356,0,1,0,0,0,0,0,1
1783787874,938361596,0,1,0,0,0,0,0,1
1783787875,938390151,0,1,0,0,0,0,0,1
1783787876,938359263,0,1,0,0,0,0,0,1
1783787877,938358244,0,1,0,0,0,0,0,1
1783787878,938360449,0,1,0,0,0,0,0,1
1783787879,938361820,0,1,0,0,0,0,0,1
1783787880,938363433,0,1,0,0,0,0,0,1
1783787881,938367712,0,1,0,0,0,0,0,1
1783787882,938363492,0,1,0,0,0,0,0,1
1783787883,938360958,0,1,0,0,0,0,0,1
1783787884,938370071,0,1,0,0,0,0,0,1
1783787885,938367019,0,1,0,0,0,0,0,1
1783787886,938360356,0,1,0,0,0,0,0,1
1783787887,938361490,0,1,0,0,0,0,0,1
1783787888,938370031,0,1,0,0,0,0,0,1
1783787889,938363406,0,1,0,0,0,0,0,1
1783787890,938361225,0,1,0,0,0,0,0,1
1783787891,938360842,0,1,0,0,0,0,0,1
1783787892,938369606,0,1,0,0,0,0,0,1
1783787893,938360001,0,1,0,0,0,0,0,1
1783787894,938361933,0,1,0,0,0,0,0,1
1783787895,938363718,0,1,0,0,0,0,0,1
1783787896,938369169,0,1,0,0,0,0,0,1
1783787897,938360325,0,1,0,0,0,0,0,1
1783787898,938391517,0,1,0,0,0,0,0,1
1783787899,938361674,0,1,0,0,0,0,0,1
1783787900,938369015,0,1,0,0,0,0,0,1
