Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1783803916,139904749,4,0,0,0,0,1.49
1783803917,139907616,35,0,0,0,0,0
1783803918,139905501,58,1,1,0,0,0.25
1783803919,139906182,53,0,0,0,0,0.5
1783803920,139905031,33,0,0,0,0,0
1783803921,139926879,40,1,1,0,0,0.25
1783803922,139922635,32,0,0,0,0,0.25
1783803923,139922855,54,0,0,0,0,0.75
1783803924,139959463,45,0,0,0,0,0.5
1783803925,139929886,43,1,1,0,0,0.5
1783803926,139925662,48,0,0,0,0,0.75
1783803927,139924975,32,0,0,0,0,0.5
1783803928,139924991,37,0,0,0,0,0.25
1783803929,139926804,45,0,0,0,0,0.25
1783803930,139923117,42,0,1,0,0,1
1783803931,139920634,53,0,0,0,0,0.25
1783803932,139925762,38,0,0,0,0,0
1783803933,139957094,42,0,0,0,0,0.75
1783803934,139930612,33,1,1,0,0,0
1783803935,139924666,40,1,0,0,0,0.5
1783803936,139925832,52,0,0,0,0,0.75
1783803937,139925943,30,0,0,0,0,0.5
1783803938,139920887,37,0,0,0,0,0.5
1783803939,139926275,42,1,1,0,0,0.5
1783803940,139951201,32,0,0,0,0,0.5
1783803941,139926387,47,0,0,0,0,0.25
1783803942,139924646,38,0,0,0,0,0.25
1783803943,139921739,51,0,0,0,0,0.5
1783803944,139926277,46,0,0,0,0,0.5
1783803945,139915426,38,2,2,0,0,0.5
1783803946,139949889,34,1,1,0,0,0.25
1783803947,139921094,54,0,0,0,0,0.5
1783803948,139922114,42,0,0,0,0,0.5
1783803949,139925189,32,0,0,0,0,0
1783803950,139925876,46,0,0,0,0,0.75
1783803951,139924266,39,2,2,0,0,1
1783803952,139926046,47,0,0,0,0,0.5
1783803953,139924826,46,0,0,0,0,0
1783803954,139920383,39,0,0,0,0,0.25
1783803955,139924960,29,1,2,0,0,0.5
1783803956,139924962,46,0,1,0,0,0.5
1783803957,139922909,36,2,2,0,0,0.5
1783803958,139922894,33,0,1,0,0,0.75
1783803959,139926156,51,0,0,0,0,0.25
1783803960,139958418,54,0,0,0,0,0.25
1783803961,139922903,50,0,0,0,0,0.5
1783803962,139923110,37,0,1,0,0,0.25
1783803963,139922151,26,0,0,0,0,0.75
1783803964,139924895,32,0,0,0,0,0.75
1783803965,139922899,50,0,0,0,0,0.25
1783803966,139925218,41,0,0,0,0,0.25
1783803967,139925407,69,0,1,0,0,0.5
1783803968,139922837,55,0,0,0,0,0.75
1783803969,139925749,55,0,0,0,0,0
1783803970,139926013,46,0,0,0,0,0.5
1783803971,139924944,50,0,1,0,0,0.5
1783803972,139923412,29,0,0,0,0,0.25
1783803973,139950768,48,0,0,0,0,0.5
1783803974,139924774,37,0,0,0,0,0.5
1783803975,139919279,35,0,0,0,0,0.5
1783803976,139923433,41,1,1,0,0,0.25
1783803977,139925364,41,0,0,0,0,0.5
1783803978,139925111,45,0,0,0,0,0.5
1783803979,139923043,34,0,0,0,0,0.25
1783803980,139924493,47,0,0,0,0,0.5
1783803981,139952536,33,1,1,0,0,0.5
1783803982,139922580,46,0,0,0,0,0.25
1783803983,139925976,53,1,1,0,0,0.5
1783803984,139927853,36,0,0,0,0,0.5
1783803985,139959267,51,0,0,0,0,0.75
1783803986,139925570,38,0,0,0,0,0.25
1783803987,139924633,34,1,1,0,0,0.75
1783803988,139925529,53,0,0,0,0,0.75
1783803989,139921796,39,0,1,0,0,0
1783803990,139926563,43,1,1,0,0,0.25
1783803991,139921219,45,2,2,0,0,0
1783803992,139920190,45,0,0,0,0,1
1783803993,139918309,60,0,0,0,0,1
1783803994,139922206,42,0,0,0,0,0.5
1783803995,139922326,38,0,0,0,0,0
1783803996,139921705,55,0,0,0,0,1
1783803997,139926584,38,0,1,0,0,0.5
1783803998,139925574,41,0,0,0,0,0.5
1783803999,139921898,40,1,1,0,0,0.25
1783804000,139925499,42,0,0,0,0,0.75
1783804001,139954490,32,0,0,0,0,0.5
1783804002,139925740,48,0,0,0,0,0.5
1783804003,139925916,38,0,0,0,0,0.25
1783804004,139925741,42,0,0,0,0,0.25
1783804005,139918676,29,0,0,0,0,0.75
1783804006,139926242,60,0,0,0,0,0.75
1783804007,139925437,29,0,0,0,0,0.5
1783804008,139925836,38,1,1,0,0,0.25
1783804009,139949476,34,0,0,0,0,0.25
1783804010,139924857,46,3,2,0,0,0.5
1783804011,139926331,21,0,0,0,0,0.5
1783804012,139926249,38,0,0,0,0,0.25
1783804013,139930204,61,0,0,0,0,0.75
1783804014,139921586,41,0,0,0,0,0.5
1783804015,139916801,29,2,2,0,0,0.5
1783804016,139918257,37,0,0,0,0,0.5
1783804017,139927416,27,0,0,0,0,0.75
1783804018,139915946,49,0,0,0,0,0.75
1783804019,139919366,45,0,0,0,0,0.5
1783804020,139920285,56,1,1,0,0,0.75
1783804021,139919741,64,1,1,0,0,0.75
1783804022,139924568,31,0,0,0,0,0.25
